,Titles,Companies,Locations,Links,Ratings,Salaries,Descriptions,Urgent Hiring,time,date
0,Business Analyst,Mirum Digital Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7fedabcef27ecf16&fccid=30584d7fcc702043&vjs=3,None,"₹7,00,000 a year","Effective project management and multi-assignment handling skills.
Seasoned and diverse experience with business analysis.
May lead various ad hoc projects.",none,20:50:31,21-01-11
1,Business Analyst - Strategy Office,Avanse Financial Services Private Limited,None,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DBScxUsGKJbglgFW18obImVav_d76RXoH538NsDCU5vB0biVSJF-68kVfR4CpkN1MSL2-JGD70XgSh5XiB_t4fZ_30pXaKrGfEIo-ofgKGyTvojBcjeSFDEMksr6imUDFpX0be8OEkjmy32JUfWBJMibwVzYcN2fYWW1uhThIu4uQXP4Uie7K0xO_KX2L8a3BecL7xzK-9Fq0MHwTt-M_tmLanUgVLsL1oIaU2PrlqB-c8uDxEvpFZq0ZdeE54302wkdCr9yJT07o5z6myk2cneY09x81Urig4TZFsw8qjtwPWKDPHyGYK4j0UqfsfWiUCZ-dbXmcpJahF4lh6CqY4CMxIUhfmSNlDIjW3uwbPQjluBf899GBBqueykbIUzLDo-rsa1YQ325rcmzHdqJGt_AJhv98fSxVu_l8D-PyXyfweSSeL2szL0GLEjmCmh1rfB7WrSPYigirCv-zgWxicp6zpToljWx-0tALsS9RCU2KBon3HdQOZ&p=1&fvj=1&vjs=3,None,None,"As a business analyst, you will be a leading contributor in the implementation of various projects in Data Collections team.
Self-directed and detail-oriented.",none,20:50:31,21-01-11
2,Analyst - Business Consulting Risk - TMT - Risk Assurance -...,Ernst & Young,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=8d97437977fb020f&fccid=1544766d4c2915b0&vjs=3,4.0,None,"Business analyst: 2 years (Preferred).
Translate business needs into requirement documents.
Interact directly with our internal users to gather requirements and…",none,20:50:31,21-01-11
3,Newgen Software Technologies - Business Analyst,Newgen Software Technologies,"Mumbai, Maharashtra",https://in.indeed.com/company/Newgen-Software-Technologies/jobs/-c2f5936bca9e994a?fccid=51ced1d299e17acc&vjs=3,3.5,None,"Understanding the use cases and process details and coming up with business solutions.
Understand the client process and associated data to help the project…",none,20:50:32,21-01-11
4,Business Analyst,Datamatics,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=2dd3f14eee66e617&fccid=ae827edc39fda956&vjs=3,3.5,None,"This structure encourages legal teams and businesses and staff areas to discuss legal, regulatory and business developments effectively and in a timely manner.",none,20:50:32,21-01-11
5,Business Analyst – Calypso,PRIFFY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=d37549ed63b4a60a&fccid=b9fe1b8ceb4baa7f&vjs=3,None,None,"Liaise with multiple stakeholders to drive projects to improve control and efficiency of the system Responsible for analyzing, structuring and solving select…",none,20:50:32,21-01-11
6,SR. BUSINESS ANALYST : SBA,C2L Biz,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=f08c06c151d631e8&fccid=ea7c9ea4eb24b5b3&vjs=3,None,None,"Evaluate alternative solutions to business problems and select preferred solution & justify the selections.
Work with business and IT staff to enable thorough…",none,20:50:33,21-01-11
7,Business Analyst,Angel broking,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=87fd316bad6ab4a1&fccid=f6e4f733fd239093&vjs=3,3.8,None,"Strive to provide the best solution to the clients, even if that means foregoing proﬁts.
High business impact: You value integrity and derive great personal joy…",none,20:50:33,21-01-11
8,Business Analyst,Ishatva Management Solutions,"Mumbai, Maharashtra",https://in.indeed.com/company/Ishatva-Management-Solutions/jobs/Business-Analyst-1f9e57aa14f775c7?fccid=700da7b77b1a7efc&vjs=3,None,"₹5,00,000 - ₹6,00,000 a year","What will you do (Job Description)?
Play the pivotal role of understanding and gathering project requirements and help the technology team to understand and…",none,20:50:33,21-01-11
9,Business Analyst,Galentic Technologies Private Limited,"Mumbai, Maharashtra",https://in.indeed.com/company/Galentic-Technology-pvt-ltd/jobs/Business-Analyst-9294e49cb15c4e29?fccid=24b90d98bcb768c9&vjs=3,None,None,Review work done by sub-ordinates (if any) and provide qualitative inputs before submission of deliverables to seniors/client (as the case may be).,none,20:50:33,21-01-11
10,Sr. Analyst - Business Operations,Tata Communications,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=886b952b08677976&fccid=e53a1e83cfcd06ef&vjs=3,4.1,None,Responsibilities: Business Analysis Requirement Gathering Scope Management Change Management FSD Documentation Communication Planning Requirement Gathering…,none,20:50:34,21-01-11
11,Business Analyst Payments,Angel broking,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=18444dd0887c86a1&fccid=f6e4f733fd239093&vjs=3,3.8,None,"Reporting in to Head Banking Operations and Transformation, this department works with all businesses of the bank including retail, small business and corporate…",none,20:50:34,21-01-11
12,Business Analyst,Dentsu Aegis Network,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=75a22742be805bd2&fccid=9834e576343ebcc2&vjs=3,3.7,None,"Meet and interact with customers to capture and translate business requirements to technical requirements.
Experience- 1 Yrs to 3 Yrs.",none,20:50:34,21-01-11
13,Specialist Business Analyst,Angel broking,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=2540fe86a4b5f69d&fccid=f6e4f733fd239093&vjs=3,3.8,None,Person will be responsible for documenting client requirements and also creating a business blueprint document which will be shared with client and project…,none,20:50:34,21-01-11
14,Business Analyst,Upstox,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=30832240e3e308cc&fccid=6b65aa2cd00f1062&vjs=3,None,None,"A wide degree of business / product knowledge, technology savvy, and people skills.
6-10 years of experience in business management, business reporting or risk…",none,20:50:35,21-01-11
15,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Evaluate alternative solutions to business problems and select preferred solution & justify the selections.
Work with business and IT staff to enable thorough…",none,20:50:37,21-01-11
16,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,"Strive to provide the best solution to the clients, even if that means foregoing proﬁts.
High business impact: You value integrity and derive great personal joy…",none,20:50:37,21-01-11
17,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"What will you do (Job Description)?
Play the pivotal role of understanding and gathering project requirements and help the technology team to understand and…",none,20:50:37,21-01-11
18,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year",Review work done by sub-ordinates (if any) and provide qualitative inputs before submission of deliverables to seniors/client (as the case may be).,Urgently hiring,20:50:38,21-01-11
19,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,Responsibilities: Business Analysis Requirement Gathering Scope Management Change Management FSD Documentation Communication Planning Requirement Gathering…,none,20:50:38,21-01-11
20,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,"Reporting in to Head Banking Operations and Transformation, this department works with all businesses of the bank including retail, small business and corporate…",none,20:50:38,21-01-11
21,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","Meet and interact with customers to capture and translate business requirements to technical requirements.
Experience- 1 Yrs to 3 Yrs.",none,20:50:38,21-01-11
22,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,Person will be responsible for documenting client requirements and also creating a business blueprint document which will be shared with client and project…,none,20:50:39,21-01-11
23,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,"A wide degree of business / product knowledge, technology savvy, and people skills.
6-10 years of experience in business management, business reporting or risk…",none,20:50:39,21-01-11
24,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,"Business analysis: 3 years (Required).
The purpose of this role is mainly manage the business analysis and the co-ordination with different departments,…",none,20:50:39,21-01-11
25,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year","The incumbent will be required to multi-task, conceptualize effective strategies, help create feasibility reports and execute new projects.",none,20:50:39,21-01-11
26,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Support the build-out of performance reporting dashboards that scales with our global business.
They will ensure the business understands the effects of a new…",none,20:50:40,21-01-11
27,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,"Good multi-tasking skills with ability to manage and prioritize projects across cross-functional groups.
We recognize that our people are our strength and the…",none,20:50:40,21-01-11
28,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,Ability to advise the business on best practise in the SAP MM and SRM modules while making sure the solution meet the business needs.,none,20:50:40,21-01-11
29,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,"Take charge of assignments independently.
Ability to handle pressure and finish assignments on time.
Should be willing to travel.",none,20:50:40,21-01-11
30,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Creating a detailed business analysis, outlining problems, opportunities and solutions for a business.
Preferable if the candidate has :",none,20:50:41,21-01-11
31,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,"As part of the core delivery team of Quantiphi, you will be responsible for managing the delivery and execution of projects in a B2B environment for…",none,20:50:41,21-01-11
32,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Resource Management(Managing team members for different projects).
Team Building (Team members grooming and awareness for new technologies for them).",none,20:50:41,21-01-11
33,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year","Outstanding analytical skills; able to resolve business problems with well- structured analyses.
Understand the different Bayzat modules and provide business…",Urgently hiring,20:50:41,21-01-11
34,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Sr.No IAM Function Location Grade Type of Emp Nos.
Business Analyst Pune B2 to C2 Sub-Con 12.
Strong Stakeholder management, ability to drive projects…",none,20:50:42,21-01-11
35,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,"Ability to understand different business verticals.
Knowledge of B2B, B2C, C2C business practices.
Analyze all aspects of clients’ business operations to map…",none,20:50:42,21-01-11
36,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","The business management team also prepares business strategies for the entire Credit business globally.
Ad-hoc customized analysis as required by the business…",none,20:50:42,21-01-11
37,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,"Required Freshers with minimum First Class.
Basic programming skills on web technologies.
Willing to undertake 6 months technological internship.",none,20:50:42,21-01-11
38,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,"We look for people who want to bring their best — bold thinkers with big hearts who challenge one other and grow together.
But we do more than that.",none,20:50:42,21-01-11
39,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,"Knowledge Service Center (KSC) supports global businesses of the Bank with solutions requiring judgment application, sound business understanding and analytical…",none,20:50:42,21-01-11
40,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year","Knowledge of data management and business intelligence methodologies.
Are you are interested in learning about healthcare and the medical sector, while working…",none,20:50:42,21-01-11
41,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,Experience in the development and execution of the sales process to close the business deal through the executive contacts with the target.,none,20:50:43,21-01-11
42,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,Work closely with managers across organization to understand business requirements and work on solutions to ensure business questions are properly answered.,none,20:50:43,21-01-11
43,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,"Looking for candidate must have experience in business analysis,business implementation,Payment domain (SWIFT & SEPA), different message format ,ISO 20022.",none,20:50:43,21-01-11
44,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,"Elicit business requirements from stakeholders.
Strong knowledge of business analysis.
Ability to multi task and liaise with multiple stakeholders.",none,20:50:43,21-01-11
45,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,"We recruit the best people and create small project teams, resulting in great chemistry between our teams and our customers that can solve even the toughest…",none,20:50:43,21-01-11
46,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,"EClerx employs 9,500-plus people across its global sites in the US, UK, India, Italy, Germany, Singapore and Thailand.
Conduct RPA High Level Assessments.",none,20:50:43,21-01-11
47,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Domain: Capital Market/Wealth Management.
Good experience in Business Analyst.
Strong Expertise in Documentation skills and reports.",none,20:50:44,21-01-11
48,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year","Work experience as a data analyst.
Provide quality assurance of imported data, working with quality assurance if necessary.",Urgently hiring,20:50:44,21-01-11
49,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Assess how well a product adheres to its design standards, as well as its usability and ability to meet business needs.
Great Attitude and passion for learning.",none,20:50:44,21-01-11
50,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,Good business and/or systems analysis skills and proven track record of delivering within deadlines with the ability to prioritize projects.,none,20:50:44,21-01-11
51,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","Ability to translate business requirements into functional requirements.
Work with cross-functional teams, and other IT and business stakeholders, to ensure the…",none,20:50:44,21-01-11
52,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,"Skill Sets: Business Analyst BA,, Documentation, Capital Market, Requirement Gathering.
Job Details: • Candidates should have experience in Capital Market…",none,20:50:44,21-01-11
53,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,"Helps with the creation of the business requirement documents (BRD).
Works with clients to discover, analyze and document client business requirements, and…",none,20:50:45,21-01-11
54,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,"3+ years working as a consultant or business analyst.
And if you think you can be a good fit, we’d love for you to get to know us, so you can understand who to…",none,20:50:45,21-01-11
55,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year","Define specifications and business requirements for web, desktop & mobile applications.
Group Company: Angel Broking Limited.
Strong knowledge of SDLC process.",none,20:50:45,21-01-11
56,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Creating and managing reports in Microsoft Power BI.
Create the data models / data structures for efficient utilization of data for the reports.",none,20:50:45,21-01-11
57,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,"Reviews and edits requirements, specifications, business processes and recommendations related to proposed solution.
Expert in Microsoft Office applications.",none,20:50:45,21-01-11
58,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,The main focus is on the business performance measurement and analytics solution and how they impact the business outcomes for our clients.,none,20:50:45,21-01-11
59,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,"Monitor and recommend improvement to sales plans to achieve allkey business objectives.
Develop and implement an operational plan for reservation and provide…",none,20:50:45,21-01-11
60,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,"In this roleyou will beable to adapt in ever-evolving Regulatory change space, has ability to learn quickly and create high quality deliverables in a timely…",none,20:50:46,21-01-11
61,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,"High degree of business acumen preferably in the Equity Research domain and competency in sell side platforms.
MBA would be preferred.",none,20:50:46,21-01-11
62,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"We require an enthusiastic and talented person.
Should have excellent communication and documentation skills.
Should have worked on Retail domain.",none,20:50:46,21-01-11
63,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year","Strong organization and writing skills, Experience developing graphic representations of business and project processes.",Urgently hiring,20:50:46,21-01-11
64,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Overall 4-6 years of experience in either IT or in one of the industries (Banking/ Telco, c)Minimum 2-4 years of experience as BA , broad understanding of one…",none,20:50:46,21-01-11
65,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,"Development of technical solutions to business problem.
Skill Sets: Business Analyst, BA, Documentation, Capital Market, Requirement Gathering, Derivative,…",none,20:50:46,21-01-11
66,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","Understand and execute the Pelican business rule language (lisp syntax based).
Pelican is a leading provider of payment and compliance solutions to corporates…",none,20:50:47,21-01-11
