,Titles,Companies,Locations,Links,Ratings,Salaries,Descriptions,Urgent Hiring,time,date
67,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,"This includes unfiltered access to our C-Suite and regular updates about the business and its performance.
Ability to understand business problems and translate…",none,20:50:47,21-01-11
68,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,"Experience in developing requirements and formulating business metrics for reporting, familiarity.
Candidates with a Minimum 2+ years of experience in Analytics…",none,20:50:47,21-01-11
69,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,"Exceptional leadership qualities - team and people skills.
Needs to be able to think strategically and also understand business and industry trends.",none,20:50:47,21-01-11
70,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year","Ability to understand the business process and flows.
Very good understanding of out of box capabilities of Salesforce ( Sales Cloud, Service Cloud, Marketing…",none,20:50:47,21-01-11
71,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Ï'· Ability to understand business requirements and convert them into detailed use cases.
Ï'· Strong CRM knowledge is essential.",none,20:50:47,21-01-11
72,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,Be responsible for providing multi-disciplinary teams with user stories and coaching to define the business driven acceptance criteria and test cases.,none,20:50:48,21-01-11
73,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,"Good time management and multi-tasking skills.
TresVista’s support functions include business plan development, all aspects of fund administration, portfolio…",none,20:50:48,21-01-11
74,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,"Ability to multi-task and work in a fast pace environment & to enforce to strict timelines.
Working with technology partners to define the functional and…",none,20:50:48,21-01-11
75,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,Conducting analysis of functional business processes and applicable business requirements and drive the development of user stories as a member of an Agile…,none,20:50:48,21-01-11
76,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,"Four years of Business Intelligence or Data Analysis, Data Analytics, or Dashboards experience or equivalent combination of education and Experience.",none,20:50:48,21-01-11
77,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Ability to grasp business requirements and convert them into functional specifications for the IT development team.
Impact Analysis and Risk Analysis.",none,20:50:48,21-01-11
78,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year","Understand business requirements for OTC Derivative businesses lines like Credit, Equity, FX and Rates.
Act as liaison between technology and the business to…",Urgently hiring,20:50:49,21-01-11
79,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"The role requires an analytical mind and an ability to synthe complex ideas for business consumption.
4-6 years of Experience in management consulting, advisory…",none,20:50:49,21-01-11
80,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,"Understanding the business / franchise supported.
The analyst will provide close support to the Asia BCMA Business Management Team.",none,20:50:49,21-01-11
81,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","Superior analytical skills to solve business problems with an eye for detail to understand the nuances.
Business Analys/Senior Business Analyst is a highly…",none,20:50:49,21-01-11
82,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,"Should be able to create solutions to problems for the business, and accordingly must effectively be able to communicate with a variety of business areas.",none,20:50:49,21-01-11
83,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,"Good people and customer handling skills.
In this role, you will be responsible to work on deadlines, in a fairly high pressure business environment while being…",none,20:50:49,21-01-11
84,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,"4-5 years experience in Business Analysis role.
Experience working with Banks, NBFC or Lending Fintechs a must.
Knowledge of Mobile centric solutions.",none,20:50:50,21-01-11
85,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year","Experienced in working with business stakeholders, customers and vendors.
Fully exposed to all phases of Project Life Cycle (PLC) with the emphasis on Business…",none,20:50:50,21-01-11
86,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Knowledge of Kimball data warehouse and business intelligence lifecycle methodology.
Develop and implement test plan and test cases.",none,20:50:50,21-01-11
87,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,"Providing a vital link between the Business Intelligence team to achieve business objectives by supporting and ensuring successful completion of building,…",none,20:50:50,21-01-11
88,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,"In the second half of ‘14, WM reached a milestone, with its business having surpassed $2 trillion in total client assets.
POSTING DATE: Jan 4, 2021.",none,20:50:50,21-01-11
89,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,"You will work alongside other business analysts and report directly to the project manager.
Ensuring solutions meet business needs and requirements.",none,20:50:50,21-01-11
90,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Work closely with business stakeholders responsible for Information.
Determine required IT Security business solutions and assist in implementing.",none,20:50:51,21-01-11
91,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,"Needs to be able to think strategically and also understand business.
Very hands-on and keen eye for detail with ability to present business.",none,20:50:51,21-01-11
92,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Carry out customer business requirement analysis using Requirement Workshops, Conference Room Pilots.
Primary (Essential) Technical Skills desired:",none,20:50:51,21-01-11
93,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year",Present ad-hoc reports as well as evaluate in timely manner Documentation Creating appropriate documentation that allows stakeholders to understand the steps of…,Urgently hiring,20:50:51,21-01-11
94,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Hands-on, practical, and capable of configuring, developing, and implementing high-quality Workday solutions that meet our expanding business needs.",none,20:50:51,21-01-11
95,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,"Seeks to understand the Client’s business strategy, operating vision, business imperatives and capabilities and how they may affect the technology imperatives.",none,20:50:51,21-01-11
96,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","» Elicit & gather business requirements from key business users.
» Obtain sign-offs from key business user/s on BRS & Testing documents.",none,20:50:51,21-01-11
97,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,"Design and meet business criteria and metrics for successful BI implementations.
Utilize Business Intelligence expertise, business Knowledge and technical…",none,20:50:52,21-01-11
98,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,"B) Strong leadership skills to connect with Internal and customer senior management at various forums.
A) Must have strong domain knowledge in BFSI domain…",none,20:50:52,21-01-11
99,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,"You will interact and conduct solution study / JAD sessions with client business teams from banking & financial services domain to understand requirements,…",none,20:50:52,21-01-11
100,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year",Ability to identify discrepancies/issues in local implementation of corporate labels and contact the affiliates (if appropriate) for remediation actions.,none,20:50:52,21-01-11
101,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Minimum 3-5 years Worked as a Business Analyst.
Excellent written and verbal communication skills.
Degree in Computer Engineering, Business Administration or…",none,20:50:52,21-01-11
102,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,"Minimum 3-5 years Worked as a Business Analyst.
Excellent written and verbal communication skills.
Degree in Computer Engineering, Business Administration or…",none,20:50:52,21-01-11
103,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,"Experience with global/multi-site manufacturing deployment projects.
Experience designing and leading IT business analysis-related workshops.",none,20:50:53,21-01-11
104,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,Develop MIS report to help business understand the revenue generated through the upsell programs and track the conversions across the generated leads.,none,20:50:53,21-01-11
105,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Translate business objectives and requirements into functional and system specifications.
Responsible for collaboration & co-ordination with all regional &…",none,20:50:53,21-01-11
106,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,"Understanding functional requirements provided by client and co-ordinate with developer.
To prepare analysis reports & secondary research.",none,20:50:53,21-01-11
107,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Analysts can identify trends that can help client teams and executives make business decisions to.
Experience • Minimum 2-3 years experience as an analyst or in…",none,20:50:53,21-01-11
108,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year","Acquire business understanding needed to analyze collaboration with business partners as well as external Research.
5+ years of relevant Experience.",Urgently hiring,20:50:53,21-01-11
109,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Configure application software to meet business requirements.
Defining, analyzing, and reviewing customer requirements in JDE Modules.",none,20:50:54,21-01-11
110,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,"Collecting business requirements from senior stakeholders.
Brainstorming and creating product requirements with business team.
3+ years of experience in IT.",none,20:50:54,21-01-11
111,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","Good people and customer handling skills.
We are looking for some who should be open to work in any shift as per the business requirement.",none,20:50:54,21-01-11
112,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,"Act as a key interface between business users and development teams.
We believe that business has the power to inspire and transform.
The work you will do.",none,20:50:54,21-01-11
113,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,"Provide ongoing support to the business community regarding application functionality, business processes, and data integrity.",none,20:50:54,21-01-11
114,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,"He or she should have strong understanding about business process of a software company management.
Tech or any equivalent degree.",none,20:50:54,21-01-11
115,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year","Experience: 4-5 years as a Business analyst and in system analysis & design.
Stay up-to-date with current technologies and technical developments and figure out…",none,20:50:54,21-01-11
116,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Provide leadership in executing proposed business and technical solutions.
Flexible and adaptable to changing market/business conditions.",none,20:50:55,21-01-11
117,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,"Reporting to Sales & Strategy Head for driving business through data mining and analytics.
Good hands on experience in SQL queries and Data Mining / Analysis.",none,20:50:55,21-01-11
118,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,"Requirement Analysis/BRD preparation/ User story/ Test case preparation/ Testing ,- Process mapping and re-engineering.",none,20:50:55,21-01-11
119,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,: Role : Business and Integration Architect Role Description : Work directly with the client gathering requirements to align technology with business strategy…,none,20:50:55,21-01-11
120,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,: Role : Business and Integration Architect Role Description : Work directly with the client gathering requirements to align technology with business strategy…,none,20:50:55,21-01-11
121,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,Provide analytical inputs in standard templates on various business KPIs to drive performance optimization initiatives.,none,20:50:55,21-01-11
122,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Play a pivotal role in delivering critical business insights to the teams.
Prior experience in retail business would be advantageous to understand our processes…",none,20:50:56,21-01-11
123,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year","We look for people who want to bring their best — bold thinkers with big hearts who challenge one other and grow together.
But we do more than that.",Urgently hiring,20:50:56,21-01-11
124,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Manage, track, and review vendor / subcontractor deliverables, if required, for the project.
Collaborate with Clients to understand their goals and vision in…",none,20:50:56,21-01-11
125,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,Maintain professional connects with all MIS contacts across warehouses for timely gathering and reporting of data pertaining to TS and CLS business.,none,20:50:56,21-01-11
126,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","Do not apply if you can not appear for personal interview.
Interact with clients and understand the requirements of the project thoroughly.",none,20:50:56,21-01-11
127,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,"Ability to deal with multi-disciplinary problems.
Education: BTech/BA(Economics)/BSc.
Good Analytical and problem solving ability.
Ability to deal with data.",none,20:50:56,21-01-11
128,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,"One of our clients, one of the largest Indian IT Company, requires multiple Banking / IT Business Analyst professionals as per the details given below.",none,20:50:57,21-01-11
129,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,This role operationally supports the larger sales and marketing operations in the organization and partners with the business ops team and other business…,none,20:50:57,21-01-11
130,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year","Do not apply if you can not appear for personal interview.
Interact with clients and understand the requirements of the project thoroughly.",none,20:50:57,21-01-11
131,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Understand business requirements & efficiently pull and query business data using SQL.
Automation of business reports using SQL, Tableau, SSRS etc.",none,20:50:57,21-01-11
132,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,"Interact with clients and understand the requirements of the project thoroughly.
Prepare and review the Requirement Analysis and Functional Specification…",none,20:50:57,21-01-11
133,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,"8+ years of combined IT experience with increasing levels of responsibility.
4+ years of architecture experience across various Salesforce clouds (Sales,…",none,20:50:57,21-01-11
134,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,"The solution caters to the complete business life cycle of the Wealth and Asset Management business.
It caters to businesses with over 200 Billion USD Assets…",none,20:50:57,21-01-11
135,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Develop and maintain business requirements.
Elicit detailed product requirements and use cases with business stakeholder.
Qualification-BE/BTech/ME/MTech.",none,20:50:58,21-01-11
